,F1-score
Class 9,0.0
Class 11,0.0
Class 12,0.0
Class 15,0.11764705882352941
Class 16,0.0
Class 18,0.0
Class 19,0.0
Class 20,0.04166666666666667
Class 21,0.11764705882352941
Class 22,0.0
Class 24,0.05333333333333333
Class 25,0.0
Class 26,0.09523809523809523
Class 27,0.058823529411764705
Class 29,0.0
Class 30,0.0
Class 31,0.0
Class 32,0.0
Class 33,0.18181818181818182
Class 34,0.0
Class 35,0.14634146341463414
Class 38,0.0
Class 42,0.0
Class 43,0.13793103448275862
Class 44,0.0
Class 46,0.0
Class 47,0.1111111111111111
Class 48,0.11764705882352942
Class 49,0.0
Class 51,0.0
Class 54,0.13333333333333333
Class 57,0.11764705882352942
Class 59,0.21052631578947367
Class 60,0.4444444444444445
Class 61,0.1111111111111111
Class 62,0.1111111111111111
Class 64,0.0
Class 65,0.10526315789473684
Class 69,0.13333333333333333
Class 70,0.1111111111111111
Class 73,0.1818181818181818
Class 75,0.0
Class 76,0.15384615384615383
Class 78,0.0
Class 79,0.0
Class 80,0.1818181818181818
Class 82,0.16666666666666669
Class 83,0.0
Class 85,0.0
Class 86,0.11764705882352941
Class 87,0.0
Class 88,0.12903225806451613
Class 92,0.0
Class 94,0.0
Class 96,0.2941176470588235
Class 97,0.22222222222222224
Class 98,0.0
Class 99,0.15384615384615385
Class 101,0.0
Class 102,0.25
Class 103,0.0
Class 104,0.0
Class 107,0.25
Class 108,0.1
Class 109,0.0
Class 110,0.16666666666666666
Class 113,0.060606060606060615
Class 115,0.11764705882352941
Class 119,0.0
Class 120,0.0
Class 122,0.0
Class 123,0.0
Class 124,0.1818181818181818
Class 125,0.0
Class 126,0.18181818181818182
Class 127,0.0
Class 128,0.15384615384615383
